IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,PAK,Pakistan,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.084,,,0,,0.43,0.1 [0.0 - 0.4],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.092,,,0,,0.44,0.1 [0.0 - 0.4],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.13,,,0,,0.5,0.1 [0.0 - 0.5],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AFR,Africa,Country,NER,Niger,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.13,,,0,,0.51,0.1 [0.0 - 0.5],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.17,,,0,,0.57,0.2 [0.0 - 0.6],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.18,,,0,,0.75,0.2 [0.0 - 0.7],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AFR,Africa,Country,COM,Comoros,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.23,,,0,,0.74,0.2 [0.0 - 0.7],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.24,,,0,,0.78,0.2 [0.0 - 0.8],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.23,,,0,,0.75,0.2 [0.0 - 0.8],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AFR,Africa,Country,SLE,Sierra Leone,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.29,,,0.0008,,0.88,0.3 [0.0 - 0.9],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.38,,,0,,0.98,0.4 [0.0 - 1.0],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AFR,Africa,Country,SEN,Senegal,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.38,,,0,,1.05,0.4 [0.0 - 1.1],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,WPR,Western Pacific,Country,TON,Tonga,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.36,,,0,,1.1,0.4 [0.0 - 1.1],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AFR,Africa,Country,DZA,Algeria,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.54,,,0.008,,1.25,0.5 [0.0 - 1.2],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AFR,Africa,Country,GIN,Guinea,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.52,,,0.01,,1.23,0.5 [0.0 - 1.2],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.5,,,0,,1.27,0.5 [0.0 - 1.3],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.51,,,0,,1.36,0.5 [0.0 - 1.4],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.51,,,0,,1.46,0.5 [0.0 - 1.5],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.51,,,0,,1.78,0.5 [0.0 - 1.8],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AFR,Africa,Country,GMB,Gambia,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.61,,,0.013,,1.45,0.6 [0.0 - 1.4],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.74,,,0,,1.74,0.7 [0.0 - 1.7],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,WPR,Western Pacific,Country,KIR,Kiribati,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.72,,,0,,2.19,0.7 [0.0 - 2.2],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EUR,Europe,Country,TJK,Tajikistan,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.74,,,0.05,,1.53,0.7 [0.1 - 1.5],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AFR,Africa,Country,MDG,Madagascar,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,0.99,,,0.14,,2.03,1.0 [0.1 - 2.0],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,QAT,Qatar,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1.05,,,0.22,,1.95,1.0 [0.2 - 2.0],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AFR,Africa,Country,ERI,Eritrea,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1.07,,,0.12,,2.18,1.1 [0.1 - 2.2],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1.13,,,0.2,,2.21,1.1 [0.2 - 2.2],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,SEAR,South-East Asia,Country,NPL,Nepal,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1.06,,,0.18,,2.28,1.1 [0.2 - 2.3],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,BHR,Bahrain,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1.25,,,0.023,,2.59,1.3 [0.0 - 2.6],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1.26,,,0.31,,2.37,1.3 [0.3 - 2.4],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,WPR,Western Pacific,Country,TUV,Tuvalu,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1.26,,,0.33,,2.49,1.3 [0.3 - 2.5],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AFR,Africa,Country,TGO,Togo,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1.44,,,0.4,,2.71,1.4 [0.4 - 2.7],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,SEAR,South-East Asia,Country,MDV,Maldives,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1.49,,,0.13,,3.02,1.5 [0.1 - 3.0],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,WPR,Western Pacific,Country,SLB,Solomon Islands,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1.45,,,0.33,,2.68,1.5 [0.3 - 2.7],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AMR,Americas,Country,GTM,Guatemala,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1.54,,,0.47,,2.64,1.5 [0.5 - 2.6],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1.71,,,0.32,,3.22,1.7 [0.3 - 3.2],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EUR,Europe,Country,TUR,Türkiye,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1.69,,,0.49,,3.02,1.7 [0.5 - 3.0],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AFR,Africa,Country,CAF,Central African Republic,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1.75,,,0.58,,3.09,1.8 [0.6 - 3.1],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,WPR,Western Pacific,Country,SGP,Singapore,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1.81,,,0.64,,3.25,1.8 [0.6 - 3.2],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AFR,Africa,Country,COD,Democratic Republic of the Congo,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1.92,,,0.58,,3.51,1.9 [0.6 - 3.5],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AFR,Africa,Country,MOZ,Mozambique,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1.89,,,0.67,,3.31,1.9 [0.7 - 3.3],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,1.93,,,0.82,,3.11,1.9 [0.8 - 3.1],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,WPR,Western Pacific,Country,NZL,New Zealand,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,10.02,,,7.19,,12.79,10.0 [7.2 - 12.8],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EUR,Europe,Country,CHE,Switzerland,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,10.07,,,7.15,,13.23,10.1 [7.1 - 13.2],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AFR,Africa,Country,SYC,Seychelles,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,10.19,,,6.92,,13.86,10.2 [6.9 - 13.9],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EUR,Europe,Country,FRA,France,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,10.32,,,7.24,,13.49,10.3 [7.2 - 13.5],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,WPR,Western Pacific,Country,AUS,Australia,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,10.29,,,7.35,,13.12,10.3 [7.3 - 13.1],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EUR,Europe,Country,SVN,Slovenia,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,10.41,,,7.36,,13.34,10.4 [7.4 - 13.3],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EUR,Europe,Country,RUS,Russian Federation,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,10.53,,,7.23,,13.94,10.5 [7.2 - 13.9],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EUR,Europe,Country,EST,Estonia,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,10.68,,,6.58,,14.2,10.7 [6.6 - 14.2],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,10.73,,,7.56,,13.79,10.7 [7.6 - 13.8],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EUR,Europe,Country,SVK,Slovakia,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,10.67,,,7.62,,13.92,10.7 [7.6 - 13.9],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,WPR,Western Pacific,Country,LAO,Lao People's Democratic Republic,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,10.82,,,7.03,,14.27,10.8 [7.0 - 14.3],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EUR,Europe,Country,IRL,Ireland,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,10.77,,,7.88,,13.77,10.8 [7.9 - 13.8],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EUR,Europe,Country,LUX,Luxembourg,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,10.82,,,8,,13.83,10.8 [8.0 - 13.8],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,10.95,,,6.92,,14.47,10.9 [6.9 - 14.5],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EUR,Europe,Country,MDA,Republic of Moldova,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,11.08,,,7.1,,14.78,11.1 [7.1 - 14.8],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AFR,Africa,Country,UGA,Uganda,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,11.3,,,7.35,,15.26,11.3 [7.4 - 15.3],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,AFR,Africa,Country,BFA,Burkina Faso,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,11.27,,,7.75,,14.59,11.3 [7.8 - 14.6],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average",text,EUR,Europe,Country,AUT,Austria,Year,2020,true,Sex,Both sexes,SEX_BTSX,,,,,,,,,,11.51,,,8.55,,14.64,11.5 [8.5 - 14.6],,Data is for 2020 only; it is not a three-year average.,EN,2024-06-20T22:00:00.000Z
